Math_Grade_6,English_Grade_6,Science_Grade_6,History_Grade_6,Computer_Grade_6,Math_Grade_7,English_Grade_7,Science_Grade_7,History_Grade_7,Computer_Grade_7,Math_Grade_8,English_Grade_8,Science_Grade_8,History_Grade_8,Computer_Grade_8,Math_Grade_9,English_Grade_9,Science_Grade_9,History_Grade_9,Computer_Grade_9,Math_Grade_10,English_Grade_10,Science_Grade_10,History_Grade_10,Computer_Grade_10,Gender_Female,Gender_Male,Effort_High,Effort_Low,Effort_Medium
52.05923269858204,90.6326064652444,52.75968934364344,76.1804266935912,81.723272229678,60.93199890862876,75.54855420222461,67.66805239710733,63.39686454653132,70.45840856344347,50.32194066247165,69.57985334881883,81.60707658259457,60.756786375778006,41.90422248643432,63.57028066780078,42.75900359029609,46.59854835439904,69.61631436235365,58.8257982244286,56.46338306715893,86.982072092867,74.96105800616694,59.58925798372913,57.61159220746811,False,True,True,False,False
73.06721042987014,77.46983589305097,72.88330213580834,49.8660203293822,66.56391482419173,84.52936557509251,53.79525745904741,51.66115544557528,60.02582718690248,48.84950075228652,71.04151690092878,60.184937360356926,56.068035164045575,68.56170040002837,50.621766200314575,72.50287026197805,79.66759017148486,85.03469255320951,77.84222779227319,65.58411001979668,83.94491833139861,87.29606145588657,63.441719567322885,52.175445415987234,81.63480584521464,False,True,False,False,True
51.58979469777541,53.88128688533069,86.96458616485548,64.14369358567471,80.35301620157723,69.61613879458183,55.46693035705834,76.1156568848026,61.00519237943112,49.00830238027741,77.24493761104831,48.091521870626,83.70710283712171,82.88428004786932,49.74616250175607,64.89651999811647,84.84211675857372,62.538093642406,61.699235620249866,68.87067825374736,84.48732040447598,78.37566319512499,72.66961445568586,56.894505133623774,82.02296650329151,True,False,False,False,True
66.77050959051637,62.480275111034494,76.64321174923182,57.28572269810234,74.16369427611886,64.82132389738423,61.86471867496394,72.52070615439472,47.82160571036225,83.57933024200092,77.57909024515892,71.28090757488424,68.28607376418245,86.6962682077096,57.67740138423555,55.97454831689063,73.8798029212555,78.99612681610057,48.08942500091288,75.07090073939261,83.21114066551905,57.19449672517269,80.36011616354543,66.23158507340426,75.3402496943562,False,True,False,False,True
76.91365232278861,62.14620653013373,78.02911564507107,58.368122013170655,89.27435633123564,57.57693609714828,49.52112514210841,69.70295222815697,83.15365716801894,57.27278906157783,67.8857867709345,66.34613770282107,86.66031569720177,57.124716866557904,49.700931456823945,72.97008073605934,75.30041602971836,57.18995095790388,80.78011401336325,64.04816222253102,82.84414025809974,80.05616607141447,61.5612638068867,50.65708130392831,79.36246991075387,True,False,False,True,False
55.08257919085737,58.86558545460052,84.00811870433091,52.30816359436743,56.98398063648504,68.91096717894683,68.81175068964569,63.24572910603558,49.22091685959063,80.31083323550821,64.09859565139206,75.63428301791603,70.76517956112708,61.24102080396048,81.12822448475933,79.90725136537121,80.7117876992294,62.979629870965184,67.27224775034304,80.55422296038792,89.0905828686307,60.23831217751112,63.94221623146022,86.39942703372927,87.05000820277246,True,False,False,True,False
80.91839840530243,69.98042183544763,63.15989048601568,86.19795635050494,80.16397173664053,88.24145034824028,74.03404754584018,63.031183642003256,80.37832835388485,59.06459635426047,49.22441986261782,63.03105698440988,65.36100356762297,44.22210040626292,63.35297886934145,57.47965256207799,68.58645474443144,53.915541854637375,53.290903928163445,79.14319972346827,72.35016218213657,48.350131396311895,85.78028396750092,50.32506719869436,76.58333714501117,True,False,False,True,False
65.91686796352387,76.10327341129629,59.71163262865983,54.926413298442704,86.15964149709801,57.33366036261265,51.84943909763968,68.77249420406554,82.44949303994515,86.57297126739498,56.48950743192359,72.69873890785568,82.9072904539952,66.73895358612978,74.79164209367457,78.63856015249434,56.041607056253895,60.12296773728449,59.122660703050805,64.96700934818524,90.15904795559366,85.25134791390431,61.037505334144114,72.27550755382867,84.61743739267229,True,False,False,False,True
64.17938697385279,55.28070658383835,77.83274978264599,67.6573115451079,80.36145784210822,80.19247361196929,53.52859488551968,80.31648705602869,90.1451273896108,81.56262752330314,61.78722986824889,66.75184505256473,61.16812464281995,89.50878550159969,63.506337822628815,82.32987917392954,58.1021006666204,58.447257247632585,91.55071925097673,74.99358505828296,67.35253997122439,51.78178851470321,69.83596022919369,70.44228579710153,46.738146254127216,True,False,False,False,True
58.09478255802756,70.3667704207265,64.60958143437179,53.34202713090781,69.00745606675683,53.007414245813415,63.726049624013854,71.6298135329672,72.62389970573244,85.04746326473581,62.44633736150949,64.94310013224461,81.69735603904607,89.22236878738543,77.25931892272732,93.91973001427964,85.97260092857032,64.80961792431751,66.32415429892592,84.74814500530026,73.01258231748369,57.85426477420618,74.97639991932553,55.60275286514575,71.45913146592721,False,True,True,False,False
48.7864681721198,54.24618795346143,79.08500518656719,67.95560431460466,74.5504192859343,74.60513494820108,54.44505134013865,86.23885036248386,62.02727475401559,67.14573817493363,70.75554123978274,50.96364957123426,71.15058523945089,59.95616182022045,81.48577535720636,52.75183196960204,80.96066723408916,82.07887750327228,52.1451271357148,83.554739475329,75.59445662070704,63.651981395267214,73.03860741707868,65.50303997799585,61.60008846860862,True,False,False,False,True
